Date,From5to11_Firstdose_Daily,From5to11_Firstdose_Total,From5to11_Firstdose_Percent,From12to17_Firstdose_Daily,From12to17_Firstdose_Total,From12to17_Firstdose_Percent,From18to59_Firstdose_Daily,From18to59_Firstdose_Total,From18to59_Firstdose_Percent,From60_Firstdose_Daily,From60_Firstdose_Total,From60_Firstdose_Percent,From5to11_Seconddose_Daily,From5to11_Seconddose_Total,From5to11_Seconddose_Percent,From12to17_Seconddose_Daily,From12to17_Seconddose_Total,From12to17_Seconddose_Percent,From18to59_Seconddose_Daily,From18to59_Seconddose_Total,From18to59_Seconddose_Percent,From60_Seconddose_Daily,From60_Seconddose_Total,From60_Seconddose_Percent,From5to11_Thirddose_Daily,From5to11_Thirddose_Total,From5to11_Thirddose_Percent,From12to17_Thirddose_Daily,From12to17_Thirddose_Total,From12to17_Thirddose_Percent,From18to59_Thirddose_Daily,From18to59_Thirddose_Total,From18to59_Thirddose_Percent,From60_Thirddose_Daily,From60_Thirddose_Total,From60_Thirddose_Percent
2020-12-27,0,0,0.0,1,1,9.477864447582671e-6,43,43,4.0649676362402266e-5,59,59,7.988691262808987e-5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2020-12-28,0,0,0.0,2,3,2.8433593342748012e-5,65,108,0.00010209686156138242,100,159,0.00021528845945536083,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2020-12-29,0,0,0.0,1,4,3.7911457790330685e-5,297,405,0.0003828632308551841,334,493,0.0006675296258584458,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2020-12-30,0,0,0.0,6,10,9.47786444758267e-5,909,1314,0.0012421784823301528,198,691,0.0009356246885764423,0,0,0.0,0,0,0.0,1,1,9.453413107535411e-7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2020-12-31,0,0,0.0,0,10,9.47786444758267e-5,120,1434,0.0013556194396205778,49,740,0.0010019714465218051,0,0,0.0,0,0,0.0,0,1,9.453413107535411e-7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2021-01-01,0,0,0.0,0,10,9.47786444758267e-5,58,1492,0.0014104492356442832,4,744,0.0010073875083948958,0,0,0.0,0,0,0.0,0,1,9.453413107535411e-7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2021-01-02,0,0,0.0,0,10,9.47786444758267e-5,62,1554,0.0014690603969110027,4,748,0.0010128035702679867,0,0,0.0,0,0,0.0,0,1,9.453413107535411e-7,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2021-01-03,0,0,0.0,0,10,9.47786444758267e-5,57,1611,0.0015229448516239545,2,750,0.001015511601204532,0,0,0.0,0,0,0.0,1,2,1.8906826215070821e-6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2021-01-04,0,0,0.0,2,12,0.00011373437337099205,745,2356,0.0022272241281353425,285,1035,0.0014014060096622543,0,0,0.0,0,0,0.0,0,2,1.8906826215070821e-6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2021-01-05,0,0,0.0,1,13,0.00012321223781857471,1727,4083,0.003859828571806708,325,1360,0.001841461036850885,0,0,0.0,0,0,0.0,0,2,1.8906826215070821e-6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2021-01-06,0,0,0.0,6,19,0.00018007942450407074,1850,5933,0.005608709996700759,643,2003,0.0027120929829502374,0,0,0.0,0,0,0.0,0,2,1.8906826215070821e-6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2021-01-07,0,0,0.0,5,24,0.0002274687467419841,1456,7389,0.006985126945157915,519,2522,0.0034148270109837734,0,0,0.0,0,0,0.0,0,2,1.8906826215070821e-6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
2021-01-08,0,0,0.0,4,28,0.00026538020453231476,1551,8940,0.008451351318136657,531,3053,0.004133809224636582,0,0,0.0,0,0,0.0,1,3,2.836023932260623e-6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
