Date,Total,FirstDose,SecondDose,ThirdDose
2020-12-27,103,103,0,0
2020-12-28,167,167,0,0
2020-12-29,632,632,0,0
2020-12-30,1114,1113,1,0
2020-12-31,169,169,0,0
2021-01-01,62,62,0,0
2021-01-02,66,66,0,0
2021-01-03,60,59,1,0
2021-01-04,1032,1032,0,0
2021-01-05,2053,2053,0,0
2021-01-06,2499,2499,0,0
2021-01-07,1980,1980,0,0
2021-01-08,2087,2086,1,0
2021-01-09,65,65,0,0
2021-01-10,2,2,0,0
2021-01-11,2150,2150,0,0
2021-01-12,1662,1662,0,0
2021-01-13,3123,3123,0,0
2021-01-14,2505,2505,0,0
2021-01-15,2299,2299,0,0
2021-01-16,1358,1358,0,0
2021-01-17,204,204,0,0
2021-01-18,2511,2352,159,0
2021-01-19,3164,2899,265,0
2021-01-20,3668,2878,790,0
2021-01-21,3344,2917,427,0
2021-01-22,2065,2001,64,0
2021-01-23,1646,1488,158,0
2021-01-24,325,266,59,0
2021-01-25,3042,2453,589,0
2021-01-26,4678,2958,1720,0
2021-01-27,4693,2227,2466,0
2021-01-28,4380,2295,2085,0
2021-01-29,4259,2230,2029,0
2021-01-30,1476,1416,60,0
2021-01-31,831,830,1,0
2021-02-01,3872,1690,2182,0
2021-02-02,3532,1719,1813,0
2021-02-03,5606,2675,2931,0
2021-02-04,5179,2916,2263,0
2021-02-05,5040,2713,2327,0
2021-02-06,2256,919,1337,0
2021-02-07,352,150,202,0
2021-02-08,2717,1609,1108,0
2021-02-09,5663,3104,2559,0
2021-02-10,5118,2284,2834,0
2021-02-11,5095,2325,2770,0
2021-02-12,5166,2857,2309,0
2021-02-13,4664,2932,1732,0
2021-02-14,617,267,350,0
2021-02-15,4770,2194,2576,0
2021-02-16,5187,2294,2893,0
2021-02-17,4876,2867,2009,0
2021-02-18,4994,2848,2146,0
2021-02-19,4382,2154,2228,0
2021-02-20,3240,1901,1339,0
2021-02-21,893,56,837,0
2021-02-22,4266,2789,1477,0
2021-02-23,4339,3071,1268,0
2021-02-24,4824,2802,2022,0
2021-02-25,4441,2827,1614,0
2021-02-26,4776,2949,1827,0
2021-02-27,5878,5577,301,0
2021-02-28,5473,5471,2,0
2021-03-01,4263,2581,1682,0
2021-03-02,4990,2736,2254,0
2021-03-03,5296,2545,2751,0
2021-03-04,5125,2054,3071,0
2021-03-05,5550,2720,2830,0
2021-03-06,6539,5275,1264,0
2021-03-07,5683,5402,281,0
2021-03-08,5040,2895,2145,0
2021-03-09,5233,2988,2245,0
2021-03-10,7161,4387,2774,0
2021-03-11,7801,5186,2615,0
2021-03-12,7954,5316,2638,0
2021-03-13,9264,8552,712,0
2021-03-14,8031,8028,3,0
2021-03-15,8016,5181,2835,0
2021-03-16,6078,2769,3309,0
2021-03-17,5348,2901,2447,0
2021-03-18,5326,2836,2490,0
2021-03-19,7584,5116,2468,0
2021-03-20,8753,8193,560,0
2021-03-21,8357,8192,165,0
2021-03-22,8508,6312,2196,0
2021-03-23,8531,6206,2325,0
2021-03-24,8305,5695,2610,0
2021-03-25,7933,5595,2338,0
2021-03-26,8726,6015,2711,0
2021-03-27,9207,8803,404,0
2021-03-28,8331,8242,89,0
2021-03-29,8632,5838,2794,0
2021-03-30,8819,5542,3277,0
2021-03-31,9078,6391,2687,0
2021-04-01,9059,6371,2688,0
2021-04-02,8154,5552,2602,0
2021-04-03,876,767,109,0
2021-04-04,3,3,0,0
2021-04-05,7906,5576,2330,0
2021-04-06,8749,6116,2633,0
2021-04-07,16369,13744,2625,0
2021-04-08,19063,16346,2717,0
2021-04-09,14413,11306,3107,0
2021-04-10,9301,3809,5492,0
2021-04-11,8888,3384,5504,0
2021-04-12,10938,7205,3733,0
2021-04-13,15478,11848,3630,0
2021-04-14,20132,17005,3127,0
2021-04-15,18716,15875,2841,0
2021-04-16,14617,11518,3099,0
2021-04-17,3830,1421,2409,0
2021-04-18,793,752,41,0
2021-04-19,11459,8528,2931,0
2021-04-20,15219,12418,2801,0
2021-04-21,18712,12581,6131,0
2021-04-22,17597,11415,6182,0
2021-04-23,13479,7405,6074,0
2021-04-24,9619,3109,6510,0
2021-04-25,8935,3454,5481,0
2021-04-26,12459,6846,5613,0
2021-04-27,22250,16425,5825,0
2021-04-28,26938,19260,7678,0
2021-04-29,27839,19494,8345,0
2021-04-30,18348,10990,7358,0
2021-05-01,9234,6340,2894,0
2021-05-02,8758,5904,2854,0
2021-05-03,12523,6533,5990,0
2021-05-04,22921,15464,7457,0
2021-05-05,27374,17644,9730,0
2021-05-06,26219,16465,9754,0
2021-05-07,18071,9307,8764,0
2021-05-08,6889,6465,424,0
2021-05-09,5185,5069,116,0
2021-05-10,15941,8048,7893,0
2021-05-11,29359,19130,10229,0
2021-05-12,34706,27171,7535,0
2021-05-13,10752,8097,2655,0
2021-05-14,13208,9999,3209,0
2021-05-15,6394,5366,1028,0
2021-05-16,4206,3910,296,0
2021-05-17,11151,7269,3882,0
2021-05-18,22899,14075,8824,0
2021-05-19,25185,16420,8765,0
2021-05-20,24694,15533,9161,0
2021-05-21,18443,12512,5931,0
2021-05-22,8638,4073,4565,0
2021-05-23,8552,4145,4407,0
2021-05-24,8352,7180,1172,0
2021-05-25,17670,12667,5003,0
2021-05-26,28220,16999,11221,0
2021-05-27,27114,17070,10044,0
2021-05-28,18879,12581,6298,0
2021-05-29,8323,3470,4853,0
2021-05-30,8032,3171,4861,0
2021-05-31,13389,10452,2937,0
2021-06-01,22564,15264,7300,0
2021-06-02,29190,16916,12274,0
2021-06-03,25396,14891,10505,0
2021-06-04,18475,10778,7697,0
2021-06-05,10244,2803,7441,0
2021-06-06,8085,1283,6802,0
2021-06-07,13146,7494,5652,0
2021-06-08,24024,10638,13386,0
2021-06-09,31389,12326,19063,0
2021-06-10,27683,11595,16088,0
2021-06-11,19308,8266,11042,0
2021-06-12,8110,4729,3381,0
2021-06-13,5847,2663,3184,0
2021-06-14,14473,6501,7972,0
2021-06-15,23555,9012,14543,0
2021-06-16,28122,11088,17033,1
2021-06-17,25839,10841,14998,0
2021-06-18,16955,7043,9912,0
2021-06-19,10213,7174,3039,0
2021-06-20,6721,5849,872,0
2021-06-21,12474,6398,6076,0
2021-06-22,21456,8791,12665,0
2021-06-23,26604,7951,18653,0
2021-06-24,22641,8155,14484,2
2021-06-25,16184,4818,11366,0
2021-06-26,10336,6482,3854,0
2021-06-27,7684,3869,3815,0
2021-06-28,11045,3190,7855,0
2021-06-29,19098,5145,13953,0
2021-06-30,18989,4701,14288,0
2021-07-01,21930,5404,16526,0
2021-07-02,16991,3648,13343,0
2021-07-03,7496,3856,3640,0
2021-07-04,4141,466,3675,0
2021-07-05,11538,2337,9201,0
2021-07-06,18519,3524,14995,0
2021-07-07,20783,4489,16294,0
2021-07-08,19397,3769,15627,1
2021-07-09,15817,2900,12917,0
2021-07-10,9037,356,8681,0
2021-07-11,5643,419,5224,0
2021-07-12,12036,1794,10242,0
2021-07-13,19393,2425,16967,1
2021-07-14,23526,4473,19053,0
2021-07-15,21741,3741,18000,0
2021-07-16,15777,3107,12670,0
2021-07-17,9612,902,8710,0
2021-07-18,6585,76,6509,0
2021-07-19,9159,1675,7484,0
2021-07-20,14798,2550,12247,1
2021-07-21,16952,3748,13204,0
2021-07-22,16803,3791,13012,0
2021-07-23,11929,3319,8610,0
2021-07-24,8519,438,8081,0
2021-07-25,6413,227,6186,0
2021-07-26,8068,2260,5806,2
2021-07-27,11782,2549,9232,1
2021-07-28,12481,2511,9970,0
2021-07-29,12194,2322,9872,0
2021-07-30,8837,2364,6473,0
2021-07-31,5101,353,4748,0
2021-08-01,4024,287,3737,0
2021-08-02,5640,984,4656,0
2021-08-03,7887,1304,6582,1
2021-08-04,9243,2458,6785,0
2021-08-05,7546,1900,5646,0
2021-08-06,5217,1626,3591,0
2021-08-07,3838,2978,860,0
2021-08-08,282,230,52,0
2021-08-09,3530,902,2628,0
2021-08-10,5185,1374,3811,0
2021-08-11,6961,2076,4885,0
2021-08-12,6946,2554,4392,0
2021-08-13,4098,1591,2507,0
2021-08-14,5075,4443,632,0
2021-08-15,324,311,13,0
2021-08-16,3548,1714,1834,0
2021-08-17,4531,1784,2747,0
2021-08-18,5987,1469,4518,0
2021-08-19,5189,1722,3466,1
2021-08-20,4750,1490,3259,1
2021-08-21,4357,3809,548,0
2021-08-22,269,220,49,0
2021-08-23,4148,1572,2574,2
2021-08-24,4881,1932,2949,0
2021-08-25,4832,1706,3125,1
2021-08-26,5499,2245,3251,3
2021-08-27,3025,1338,1687,0
2021-08-28,2986,2347,636,3
2021-08-29,330,291,39,0
2021-08-30,3675,1748,1923,4
2021-08-31,4687,2261,2401,25
2021-09-01,4526,1689,2730,107
2021-09-02,5126,1812,3155,159
2021-09-03,3807,1185,1743,879
2021-09-04,4287,1722,2476,89
2021-09-05,928,623,109,196
2021-09-06,3542,905,1880,757
2021-09-07,4796,1533,2461,802
2021-09-08,5504,2457,2403,644
2021-09-09,5725,2470,2694,561
2021-09-10,3688,1426,1375,887
2021-09-11,4147,1438,2546,163
2021-09-12,553,380,133,40
2021-09-13,2670,850,1449,371
2021-09-14,4337,1679,2085,573
2021-09-15,5668,2692,1890,1086
2021-09-16,5767,2395,2350,1022
2021-09-17,3583,1657,1156,770
2021-09-18,2453,1403,928,122
2021-09-19,2121,1373,224,524
2021-09-20,1853,530,996,327
2021-09-21,3793,1303,1824,666
2021-09-22,5315,2057,1900,1358
2021-09-23,4735,1940,1758,1037
2021-09-24,3673,1871,1165,637
2021-09-25,2161,1217,820,124
2021-09-26,371,267,88,16
2021-09-27,2241,818,1012,411
2021-09-28,4750,1795,1850,1105
2021-09-29,4949,1470,2243,1236
2021-09-30,4964,1757,2169,1038
2021-10-01,2438,907,1132,399
2021-10-02,1876,993,759,124
2021-10-03,348,169,165,14
2021-10-04,1836,526,843,467
2021-10-05,5199,1705,1978,1516
2021-10-06,5500,1386,2723,1391
2021-10-07,5480,1470,2502,1508
2021-10-08,4275,1502,1810,963
2021-10-09,2192,1223,764,205
2021-10-10,454,280,104,70
2021-10-11,1485,481,628,376
2021-10-12,5684,1764,1962,1958
2021-10-13,5066,1183,2015,1868
2021-10-14,5356,1465,2181,1710
2021-10-15,4148,1401,1736,1011
2021-10-16,2353,1247,763,343
2021-10-17,1962,454,1059,449
2021-10-18,1293,403,405,485
2021-10-19,6032,1702,2199,2131
2021-10-20,5193,1428,1641,2124
2021-10-21,6368,1966,2172,2230
2021-10-22,2876,732,960,1184
2021-10-23,2442,1061,635,746
2021-10-24,150,18,112,20
2021-10-25,1071,280,358,433
2021-10-26,5669,1452,1517,2700
2021-10-27,4517,1159,1064,2294
2021-10-28,4851,1043,1234,2574
2021-10-29,4276,1157,1032,2087
2021-10-30,3193,1048,738,1407
2021-10-31,77,10,49,18
2021-11-01,1149,195,316,638
2021-11-02,7672,1241,1601,4830
2021-11-03,9063,1213,1301,6549
2021-11-04,9638,1439,1700,6499
2021-11-05,8053,1151,1270,5632
2021-11-06,5592,1412,775,3405
2021-11-07,142,10,101,31
2021-11-08,2822,314,407,2101
2021-11-09,11507,1226,1846,8435
2021-11-10,12581,1589,1624,9368
2021-11-11,14063,1797,1981,10285
2021-11-12,10422,1330,959,8133
2021-11-13,7393,1783,901,4709
2021-11-14,775,242,95,438
2021-11-15,3539,446,430,2663
2021-11-16,15141,1557,1972,11612
2021-11-17,14745,1742,1327,11676
2021-11-18,18225,2765,1832,13628
2021-11-19,13873,2029,1404,10440
2021-11-20,10341,4075,974,5292
2021-11-21,466,128,47,291
2021-11-22,6933,1239,474,5220
2021-11-23,17991,2508,1448,14035
2021-11-24,21680,3525,1885,16270
2021-11-25,23933,4373,1892,17668
2021-11-26,16605,2638,1347,12620
2021-11-27,12964,6953,651,5360
2021-11-28,1941,448,123,1370
2021-11-29,10919,1777,736,8406
2021-11-30,21942,2966,1680,17296
2021-12-01,24268,3224,1574,19470
2021-12-02,25983,3455,1897,20631
2021-12-03,21566,2427,1771,17368
2021-12-04,12979,4674,926,7379
2021-12-05,1779,263,50,1466
2021-12-06,15494,2329,618,12547
2021-12-07,26710,3123,1723,21864
2021-12-08,30534,3899,1904,24731
2021-12-09,30123,3062,2105,24956
2021-12-10,25566,2109,1963,21494
2021-12-11,16431,3398,2028,11005
2021-12-12,2568,372,225,1971
2021-12-13,18265,1998,1193,15074
2021-12-14,30366,2956,2391,25019
2021-12-15,32249,3231,2743,26275
2021-12-16,35766,4421,3377,27968
2021-12-17,25919,3148,2221,20550
2021-12-18,13183,2227,939,10017
2021-12-19,2778,389,213,2176
2021-12-20,19344,2382,1823,15139
2021-12-21,28186,3390,2683,22113
2021-12-22,26388,2522,2594,21272
2021-12-23,20363,1801,1805,16757
2021-12-24,1415,188,329,898
2021-12-25,823,78,141,604
2021-12-26,0,0,0,0
2021-12-27,11922,1515,1726,8681
2021-12-28,14868,1778,2049,11041
2021-12-29,15412,1213,2503,11696
2021-12-30,10869,660,1672,8537
2021-12-31,921,214,71,636
2022-01-01,0,0,0,0
2022-01-02,446,91,37,318
2022-01-03,14543,1027,1983,11533
2022-01-04,20519,1632,2974,15913
2022-01-05,19982,1817,3064,15101
2022-01-06,26603,1734,4974,19895
2022-01-07,17851,1628,3272,12951
2022-01-08,17846,624,2949,14273
2022-01-09,1492,82,320,1090
2022-01-10,12987,1117,2178,9692
2022-01-11,21339,1755,3554,16030
2022-01-12,19793,1626,3029,15138
2022-01-13,23156,1614,3491,18051
2022-01-14,14981,1474,1460,12047
2022-01-15,10448,363,639,9446
2022-01-16,471,44,49,378
2022-01-17,8992,788,1607,6597
2022-01-18,15458,1188,2305,11965
2022-01-19,15441,1437,2238,11766
2022-01-20,17532,1446,2235,13851
